2025-02-24 23:11:14,076 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:14,231 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:14,346 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:14,473 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:14,657 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:14,822 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:14,981 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:15,156 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:15,377 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:15,837 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:15,989 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:16,141 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:16,290 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:16,536 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:16,708 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:16,918 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:17,164 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:17,368 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:17,511 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:17,668 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:17,805 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:17,962 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:18,125 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:18,333 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:18,532 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:18,677 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:18,809 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:18,940 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:19,056 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:19,161 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:19,273 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:19,376 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:19,476 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:19,577 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:19,691 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:19,786 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:19,873 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:19,985 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:20,100 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:20,225 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:20,430 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:20,556 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:20,730 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:20,919 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:21,075 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:21,209 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:21,328 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:21,435 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:21,636 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:21,739 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:21,842 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:21,947 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:22,065 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:22,169 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:22,272 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:22,374 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:22,477 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:22,601 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:22,693 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:22,786 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:22,896 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:23,009 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:23,161 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:23,300 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:23,463 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:23,646 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:23,802 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:23,959 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:24,114 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
